  PID TTY      STAT   TIME COMMAND
 1647 tty8     Ssl+   2:17 /usr/lib/xorg/Xorg :0 -audit 0 -auth /var/lib/mdm/:0.Xauth -nolisten tcp vt8
 1650 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
 1675 ?        S      0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
 1987 ?        S      0:00 dbus-launch --autolaunch=2a5d5f96ef9147c0b35535562b32d0ff --binary-syntax --close-stderr
 1989 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 2032 ?        S<     0:00 [ktpacpid]
 2108 ?        Ss     0:00 /lib/systemd/systemd --user
 2111 ?        S      0:00 (sd-pam)
 2118 ?        SLl    0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
 2123 ?        Ssl    0:00 /usr/sbin/console-kit-daemon --no-daemon
 2197 ?        Ssl    0:00 cinnamon-session --session cinnamon
 2267 ?        Ss     0:00 /usr/bin/gpg-agent --daemon
 2270 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch cinnamon-session-cinnamon
 2273 ?        S      0:00 /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch cinnamon-session-cinnamon
 2274 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 6 --print-address 9 --session
 2286 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 2291 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2301 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 2306 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 2308 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2316 ?        Sl     0:02 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/cinnamon-settings-daemon
 2334 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 2335 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 2340 ?        Ssl    0:00 /usr/lib/upower/upowerd
 2348 ?        S<     0:00 [krfcommd]
 2374 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2378 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2381 ?        Ssl    0:01 /usr/lib/udisks2/udisksd --no-debug
 2390 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2395 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2400 ?        Sl     0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 2405 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 2410 ?        Ssl    0:00 /usr/lib/colord/colord
 2411 ?        S      0:00 /usr/bin/python2 /usr/bin/cinnamon-launcher
 2413 ?        S      0:00 syndaemon -i 1.0 -t -K -R
 2415 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-printer
 2428 ?        Sl     4:41 cinnamon --replace
 2436 ?        S      0:00 /usr/bin/python /usr/bin/blueberry-tray
 2437 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2439 ?        Sl     0:15 nemo -n
 2440 ?        Sl     0:03 nm-applet
 2443 ?        S      0:00 sh -c /usr/lib/blueberry/blueberry-tray.py
 2444 ?        Sl     0:00 python2 /usr/lib/blueberry/blueberry-tray.py
 2445 ?        Sl     0:00 /usr/bin/python2 /usr/bin/cinnamon-killer-daemon
 2448 ?        Sl     0:02 /usr/bin/python /usr/bin/glipper
